,title,author_last,author_first
556,the shaman s game a mystery,doss, james d 
557,snake dreams,doss, james d 
558,grandmother spider a charlie moon mystery,doss, james d 
559,shadow man,doss, james d 
560,dead soul,doss, james d 
561,children and war,cross, robin 
562,victims of war,cross, robin 
563,the rise of the nazis,tonge, neil
564,the eastern front,adams, simon
565,aftermath of war ,cross, robin 
566,technology of war,cross, robin 
567,the american revolution a british view,clarke, clorinda
568,d day,dunn, joeming w 
569,the day martin luther king jr was shot ,haskins, jim
570,first facts about u s history,king, david c 
571,the president has been shot the assassination of john f kennedy ,swanson, james l 
572,the dust bowl,heinrichs, ann 
573,the terror attacks,bodden, valerie
574,christopher columbus and the great voyage of discovery,weisman, joanne b 
575,castles,steele,philip
576,exploring the bismarck,ballard, robert d 
577,the easter rising,killeen, richard 
578,the french revolution,gilbert, adrian 
579,the russian revolution,gilbert, adrian 
580,the medieval world,steele, philip
581,the cold war,bodden, valerie
582,the best book of mummies,steele, philip
583,the egyptian news,steedman, scott 
584,the roman news,langley, andrew 
585,the greek news,powell, anton 
586,ancient greece,cohen, daniel
587,inuit history and culture,burgan, michael 
588,cree history and culture,dwyer, helen 
589,exploring the st lawrence river region,blue, rose 
590,a history of the indians of the united states ,debo, angie
591,the first americans,claiborne, robert
592,winnie the pooh,milne, a a 
593,the house at pooh corner,milne, a a 
594,the saddle club ghost rider,bryant, bonnie 
595,rodeo rider,bryant, bonnie 
596,riding camp,bryant, bonnie 
597,trail mates,bryant, bonnie 
598,horse shy,bryant, bonnie 
599, african americans who shaped american history,beckner, chrisanne 
600,freedom river,rappaport, doreen 
601,life and times of frederick douglass,douglass, frederick
602,brave black women from slavery to the space shuttle,winegarten, ruthe 
603,get on board the story of the underground railroad ,haskins, james
604, african american inventors ,hayden, robert c 
605, african american doctors,hayden, robert c 
606, african american scientists ,hayden, robert c 
607,outward dreams black inventors and their inventions,haskins, james
608,african american inventors,sullivan, otha richard
609,mr civil rights the story of thurgood marshall,whitelaw, nancy 
610,winnie the pooh s easter,talkington, bruce 
611,winnie the pooh s halloween,talkington, bruce 
612,winnie the pooh s friendly adventures,disney, walt
613,growing up stories,zoehfeld, kathleen weidner 
614,disney s the many adventures of winnie the pooh,simons, jamie 
615,martin luther king jr ,jakoubek, robert e 
616,jesse jackson a biography,mckissack, pat
617,stacey and the cheerleaders,martin, ann m 
618,stacey s mistake,martin, ann m 
619,karen s pizza party,martin, ann m 
620,karen s ice skates,martin, ann m 
621,karen s candy,martin, ann m 
622,karen s magician,martin, ann m 
623,karen s roller skates ,martin, ann m 
624,claudia s friend,martin, ann m 
625,jim thorpe olympic champion,van riper, guernsey
626, famous americans who changed american history,crompton, samuel willard 
627,they re off the story of the pony express,harness, cheryl 
628,the automatic horse,hubbard, l ron
629,ghost horses,hill, pamela smith
630,city on fire the forgotten disaster that devastated a town and ignited a landmark legal battle,minutaglio, bill 
631,the civil war strange fascinating facts,davis, burke
632,new orleans and the texas revolution,miller, edward l 
633,historic towns of texas columbus gonzales jefferson,davis, joe tom
634,exploring the alamo legends,chariton, wallace o 
635,alamo battle of honor and freedom ,wade, linda r 
636,texas,george, charles
637,texas yesterday and today ,hancock, sibyl 
638,the history of america,collins, robert a 
639,my autobiography ,chaplin, charles
640,the great americana scrap book a haphazard history of people places and things american from plymouth rock to punk rock with hundreds of famous and infamous quotations ,hornby, george 
641,karen s new year,martin, ann m 
642,dawn on the coast,martin, ann m 
643,lawmen of the old west,epstein, dwayne
644,notorious outlaws,yasuda, anita 
645,famous lawmen,hinman, bonnie
646,logan likes mary anne ,martin, ann m 
647,the transcontinental railroad,blashfield, jean f 
648,the slave trade,hanel, rachael
649,god and goddesses of ancient rome,ashworth, leon
650,gods and goddesses of ancient greece,ashworth, leon
651,james buchanan,joseph, paul
652,jim bowie hero of the alamo,gaines, ann 
653,harriet tubman,sullivan, george
654,number the stars,lowry, lois
655,f scott fitzgerald,stewart, gail
656,andrew carnegie steel tycoon,bowman, john
657,h g wells,nardo, don
658,the voice that challenged a nation marian anderson and the struggle for equal rights,freedman, russell
659,susan b anthony voice for women s voting rights,kendall, martha e 
660,billy the kid,healy, nick 
661,marie curie,cobb, vicki 
662,davy crockett defender of the alamo,sanford, william r 
663,the vietnam war,otfinoski, steven
664,rand mcnally picture atlas of the world,ogilvie, bruce 
665,the usborne geography encyclopedia ,varley, carol 
666,elie wiesel spokesman for remembrance,bayer, linda n 
667,theodore roosevelt,welsbacher, anne
668,franklin d roosevelt,joseph, paul
669,mr president a book of u s presidents,sullivan, george
670,stealing home the story of jackie robinson,denenberg, barry 
671,babe ruth,macht, norman l norman lee 
672,dwight d eisenhower,joseph, paul
673,who was walt disney ,stewart, whitney
674,john f kennedy,joseph, paul
675,rifles for watie,keith, harold
676,ancient egyptian mythology,forty, jo
677,the sting of the scorpion,dixon, franklin w 
678,a coal miner s bride the diary of anetka kaminska,bartoletti, susan campbell 
679,standing in the light the captive diary of catherine carey logan,osborne, mary pope 
680,invincible louisa the story of the author of little women,meigs, cornelia
681,new world sourdough artisan techniques for creative homemade fermented breads with recipes for pan de coco bagels beignets and more,ford, bryan
682,the merry adventures of robin hood,pyle, howard
683,cleopatra vii daughter of the nile,gregory, kristiana 
684,walt whitman poetry for young people,whitman, walt
685,collected works,o connor, flannery 
686,the mysterious island,verne, jules
687,eight cousins ,alcott, louisa may
