,Title,Author_First,Author_Last,Num_Checkouts
600,biscuit and the frog book 11, alyssa satin,capucilli,21
601,go train go  a thomas the tank engine story, w,awdry,21
602,the perfect dress, melissa,lagonegro,21
603,how do dinosaurs count to ten, jane,yolen,21
604,franklins valentines, paulette,bourgeois,21
605,the best nest, p d,eastman,21
606,fancy nancy tea for two, jane,oconnor,21
607,the stonekeeper, kazu,kibuishi,21
608,get well pikachu, tracey,west,21
609,a court of thorns and roses, sarah j,maas,21
610,dinotrux go to school, chris,gall,21
611,the napping house, audrey,wood,21
612,the berenstain bears get the noisies, stan,berenstain,21
613,frozen  the cinestory, robert,simpson,21
614,blues clues abcs, tish,rabe,21
615,olivia leads a parade, kama,einhorn,21
616,franklin is lost, paulette,bourgeois,21
617,star wars the clone wars watch out for jabba the hutt, simon,beecroft,21
618,do whales have belly buttons, melvin,berger,21
619,biscuits trick book 5, alyssa satin,capucilli,21
620,curious george flies a kite, margret,rey,21
621,there was an old lady who swallowed a chick, lucille,colandro,21
622,brown bear brown bear what do you see, bill,martin,21
623,truck full of ducks, ross,burach,21
624,barnyard dance, sandra,boynton,21
625,doggies, sandra,boynton,21
626,happy narwhalidays, ben,clanton,21
627,the night she disappeared, lisa,jewell,21
628,the night before preschool, natasha,wing,21
629,lego awesome ideas  what will you build, daniel,lipkowitz,21
630,hedgehug  a sharp lesson in love, benn,sutton,21
631,in a people house, theodore,lesieg,21
632,the berenstain bears moving day, stan,berenstain,21
633,the rabbit listened, cori,doerrfeld,21
634,the thing lou couldnt do, ashley,spires,20
635,follow the moon home  a tale of one idea twenty kids and a hundred sea turtles, philippe,cousteau,20
636,better off dead, lee,child,20
637,the magic misfits, neil patrick,harris,20
638,ugly love, colleen,hoover,20
639,animal action abc, karen,pandell,20
640,prince of the elves, kazu,kibuishi,20
641,the maid, nita,prose,20
